"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"MAGEA12",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"NR5A2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"PLCH2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"PLXDC2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"PRAMEF18",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"SCML2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"SLC44A1",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"SPATA17",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"STPG2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"TBC1D31",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"TBR1",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"UBAP2L",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"UBR2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"VANGL2",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"ZCCHC12",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"ZFP30",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"ZIC3",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"ZNF221",14,12,0.693929098912989,0.858653194383775,2.05384781348627,0.364621320169829,0.830412898310207
"AHR",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"ASAH2",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"BRDT",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"CHRDL1",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
